rfc,legal_name,registered_date,address,bank_clabe,category,contact_email
DDT950812CPV,Servicios Logistica 00000067-048 SA de CV,2023-04-15,"Av. Industria 148, Monterrey, Nuevo Leon",646180000010505811,Logistica,contacto00000067-048@proveedor.example.mx
DDW980505CRI,Servicios Logistica 00000067-051 SA de CV,2021-07-15,"Av. Industria 151, Monterrey, Nuevo Leon",646180000010743385,Logistica,contacto00000067-051@proveedor.example.mx
DCD830226BUV,Servicios Mantenimiento 00000067-006 SA de CV,2021-07-15,"Av. Industria 106, Monterrey, Nuevo Leon",646180000007179836,Mantenimiento,contacto00000067-006@proveedor.example.mx
DCY740505CFI,Servicios Consultoria 00000067-027 SA de CV,2022-01-15,"Av. Industria 127, Monterrey, Nuevo Leon",646180000008842829,Consultoria,contacto00000067-027@proveedor.example.mx
DDR930226COV,Servicios Mantenimiento 00000067-046 SA de CV,2021-02-15,"Av. Industria 146, Monterrey, Nuevo Leon",646180000010347435,Mantenimiento,contacto00000067-046@proveedor.example.mx
DDC780505CHI,Servicios Mantenimiento 00000067-031 SA de CV,2021-05-15,"Av. Industria 131, Monterrey, Nuevo Leon",646180000009159582,Mantenimiento,contacto00000067-031@proveedor.example.mx
DDS940505CPI,Servicios Consultoria 00000067-047 SA de CV,2022-03-15,"Av. Industria 147, Monterrey, Nuevo Leon",646180000010426628,Consultoria,contacto00000067-047@proveedor.example.mx
DCP950226CAV,Servicios Logistica 00000067-018 SA de CV,2023-01-15,"Av. Industria 118, Monterrey, Nuevo Leon",646180000008130117,Logistica,contacto00000067-018@proveedor.example.mx
DCG861119BWI,Servicios Insumos 00000067-009 SA de CV,2024-01-15,"Av. Industria 109, Monterrey, Nuevo Leon",646180000007417404,Insumos,contacto00000067-009@proveedor.example.mx
DDF810226CIV,Servicios Insumos 00000067-034 SA de CV,2024-08-15,"Av. Industria 134, Monterrey, Nuevo Leon",646180000009397153,Insumos,contacto00000067-034@proveedor.example.mx
DDD790812CHV,Servicios Consultoria 00000067-032 SA de CV,2022-06-15,"Av. Industria 132, Monterrey, Nuevo Leon",646180000009238775,Consultoria,contacto00000067-032@proveedor.example.mx
DCV710812CDV,Servicios Insumos 00000067-024 SA de CV,2024-07-15,"Av. Industria 124, Monterrey, Nuevo Leon",646180000008605257,Insumos,contacto00000067-024@proveedor.example.mx
DDH830812CJV,Servicios Mantenimiento 00000067-036 SA de CV,2021-01-15,"Av. Industria 136, Monterrey, Nuevo Leon",646180000009555539,Mantenimiento,contacto00000067-036@proveedor.example.mx
DCQ960505CBI,Servicios Insumos 00000067-019 SA de CV,2024-02-15,"Av. Industria 119, Monterrey, Nuevo Leon",646180000008209307,Insumos,contacto00000067-019@proveedor.example.mx
DCI880505BXI,Servicios Mantenimiento 00000067-011 SA de CV,2021-03-15,"Av. Industria 111, Monterrey, Nuevo Leon",646180000007575786,Mantenimiento,contacto00000067-011@proveedor.example.mx
DCA800505BTI,Servicios Logistica 00000067-003 SA de CV,2023-04-15,"Av. Industria 103, Monterrey, Nuevo Leon",646180000006942268,Logistica,contacto00000067-003@proveedor.example.mx
DEB730812CTV,Servicios Consultoria 00000067-056 SA de CV,2021-03-15,"Av. Industria 156, Monterrey, Nuevo Leon",646180000011139338,Consultoria,contacto00000067-056@proveedor.example.mx
DDK860505CLI,Servicios Insumos 00000067-039 SA de CV,2024-04-15,"Av. Industria 139, Monterrey, Nuevo Leon",646180000009793100,Insumos,contacto00000067-039@proveedor.example.mx
DDU961119CQI,Servicios Insumos 00000067-049 SA de CV,2024-05-15,"Av. Industria 149, Monterrey, Nuevo Leon",646180000010585006,Insumos,contacto00000067-049@proveedor.example.mx
DCW721119CEI,Servicios Tecnologia 00000067-025 SA de CV,2020-08-15,"Av. Industria 125, Monterrey, Nuevo Leon",646180000008684443,Tecnologia,contacto00000067-025@proveedor.example.mx
DCB810812BTV,Servicios Insumos 00000067-004 SA de CV,2024-05-15,"Av. Industria 104, Monterrey, Nuevo Leon",646180000007021450,Insumos,contacto00000067-004@proveedor.example.mx
DDO900505CNI,Servicios Logistica 00000067-043 SA de CV,2023-08-15,"Av. Industria 143, Monterrey, Nuevo Leon",646180000010109864,Logistica,contacto00000067-043@proveedor.example.mx
DEA720505CTI,Servicios Logistica 00000067-055 SA de CV,2020-02-15,"Av. Industria 155, Monterrey, Nuevo Leon",646180000011060148,Logistica,contacto00000067-055@proveedor.example.mx
DDG820505CJI,Servicios Tecnologia 00000067-035 SA de CV,2020-09-15,"Av. Industria 135, Monterrey, Nuevo Leon",646180000009476346,Tecnologia,contacto00000067-035@proveedor.example.mx
DCO941119CAI,Servicios Consultoria 00000067-017 SA de CV,2022-09-15,"Av. Industria 117, Monterrey, Nuevo Leon",646180000008050925,Consultoria,contacto00000067-017@proveedor.example.mx
DBZ790226BSV,Servicios Consultoria 00000067-002 SA de CV,2022-03-15,"Av. Industria 102, Monterrey, Nuevo Leon",646180000006863075,Consultoria,contacto00000067-002@proveedor.example.mx
DCK901119BYI,Servicios Logistica 00000067-013 SA de CV,2023-05-15,"Av. Industria 113, Monterrey, Nuevo Leon",646180000007734161,Logistica,contacto00000067-013@proveedor.example.mx
DCM920505BZI,Servicios Tecnologia 00000067-015 SA de CV,2020-07-15,"Av. Industria 115, Monterrey, Nuevo Leon",646180000007892540,Tecnologia,contacto00000067-015@proveedor.example.mx
DDQ921119COI,Servicios Tecnologia 00000067-045 SA de CV,2020-01-15,"Av. Industria 145, Monterrey, Nuevo Leon",646180000010268242,Tecnologia,contacto00000067-045@proveedor.example.mx
DDE801119CII,Servicios Logistica 00000067-033 SA de CV,2023-07-15,"Av. Industria 133, Monterrey, Nuevo Leon",646180000009317968,Logistica,contacto00000067-033@proveedor.example.mx
DCS981119CCI,Servicios Mantenimiento 00000067-021 SA de CV,2021-04-15,"Av. Industria 121, Monterrey, Nuevo Leon",646180000008367689,Mantenimiento,contacto00000067-021@proveedor.example.mx
DDZ710226CSV,Servicios Insumos 00000067-054 SA de CV,2024-01-15,"Av. Industria 154, Monterrey, Nuevo Leon",646180000010980957,Insumos,contacto00000067-054@proveedor.example.mx
DCH870226BWV,Servicios Tecnologia 00000067-010 SA de CV,2020-02-15,"Av. Industria 110, Monterrey, Nuevo Leon",646180000007496593,Tecnologia,contacto00000067-010@proveedor.example.mx
DDY701119CSI,Servicios Mantenimiento 00000067-053 SA de CV,2023-09-15,"Av. Industria 153, Monterrey, Nuevo Leon",646180000010901761,Mantenimiento,contacto00000067-053@proveedor.example.mx
DCL910226BYV,Servicios Insumos 00000067-014 SA de CV,2024-06-15,"Av. Industria 114, Monterrey, Nuevo Leon",646180000007813354,Insumos,contacto00000067-014@proveedor.example.mx
DCR970812CBV,Servicios Tecnologia 00000067-020 SA de CV,2020-03-15,"Av. Industria 120, Monterrey, Nuevo Leon",646180000008288496,Tecnologia,contacto00000067-020@proveedor.example.mx
DDM881119CMI,Servicios Mantenimiento 00000067-041 SA de CV,2021-06-15,"Av. Industria 141, Monterrey, Nuevo Leon",646180000009951489,Mantenimiento,contacto00000067-041@proveedor.example.mx
DCU700505CDI,Servicios Logistica 00000067-023 SA de CV,2023-06-15,"Av. Industria 123, Monterrey, Nuevo Leon",646180000008526064,Logistica,contacto00000067-023@proveedor.example.mx
DDJ850226CKV,Servicios Logistica 00000067-038 SA de CV,2023-03-15,"Av. Industria 138, Monterrey, Nuevo Leon",646180000009713915,Logistica,contacto00000067-038@proveedor.example.mx
DCN930812BZV,Servicios Mantenimiento 00000067-016 SA de CV,2021-08-15,"Av. Industria 116, Monterrey, Nuevo Leon",646180000007971733,Mantenimiento,contacto00000067-016@proveedor.example.mx
DDA761119CGI,Servicios Insumos 00000067-029 SA de CV,2024-03-15,"Av. Industria 129, Monterrey, Nuevo Leon",646180000009001203,Insumos,contacto00000067-029@proveedor.example.mx
DDX990812CRV,Servicios Consultoria 00000067-052 SA de CV,2022-08-15,"Av. Industria 152, Monterrey, Nuevo Leon",646180007926021453,Consultoria,contacto00000067-052@proveedor.example.mx
DCX730226CEV,Servicios Mantenimiento 00000067-026 SA de CV,2021-09-15,"Av. Industria 126, Monterrey, Nuevo Leon",646180000008763636,Mantenimiento,contacto00000067-026@proveedor.example.mx
